question;class
where does ben stiller live in ny?;LOC
what is the official language in mexico?;LANG
what wars did ulysses s grant served in?;LITERATURE
what type of government does fiji have?;POLITICS
in what state did the bloody battle of antietam take place?;LOC
where did vietnamese people originate from?;LOC
who was dan cody?;HUMAN
what are all the inventions benjamin franklin made?;LITERATURE
what was wrong with joan crawford?;['base.skosbase.skos_concept']
who does debbie dingle go out with?;TV
what country was anton van leeuwenhoek from?;LOC
what does latin america consist of?;LOC
who is the manager of the st louis cardinals?;HUMAN
where in oregon was stand by me filmed?;LOC
what did writers of the harlem renaissance write about?;None
what is the language they speak in jamaica?;LANG
where to live in duluth ga?;MOVIE
what is the currency in australia 2011?;CURRENCY
what state was theodore roosevelt from?;LOC
what does the term prima donna mean?;COMPANY
what form of government does brazil have?;POLITICS
where did lebron james go to highschool?;LOC
where do the fla marlins play?;LOC
what type of art does wassily kandinsky do?;COMPANY
who won london mayoral elections 2012?;ENTITY
who was arthur miller father?;HUMAN
what super bowls have the giants won?;DATE-TIME
where was rod stewart born?;LOC
what did jack kevorkian go to prison for?;['base.skosbase.skos_concept']
who is ruling tunisia now?;HUMAN
who played eowyn in the lord of the rings movies?;ENTITY
where is the parliament in south africa?;LOC
what important office did abraham lincoln hold?;MOVIE
where did michael jordan play high school basketball?;COMPANY
what type of cancer did huell howser die of?;HUMAN
what timezone is minneapolis in?;LOC
who is aidan davis?;SPORTS
what was nicolaus copernicus occupation?;['http://www.w3.org/2000/01/rdf-schema#Class']
what did richard arkwright contribute to the industrial revolution?;SCIENCE
what kind of currency does greece have?;CURRENCY
when did manchester united first win a trophy?;DATE-TIME
what to see in washington dc in 2 days?;LOC
where is azerbaijan?;LOC
what is the money of argentina called?;CURRENCY
what did bella abzug do?;['http://www.w3.org/2000/01/rdf-schema#Class']
what sights to see in madrid?;LOC
what good things has angelina jolie done?;None
what films has gerard butler starred in?;MOVIE
where was alice paul born?;LOC
what did john quincy adams died of?;HUMAN
what is means testing medicare?;COMPANY
who did juan ponce de leon mary?;HUMAN
what is the political system in italy?;POLITICS
who is the leader of france 2012?;HUMAN
who is raquel welch's daughter?;HUMAN
what kind of art did leonardo da vinci produce?;COMPANY
what money is used in the maldives?;CURRENCY
what is anderson cooper?;ENTITY
where does mike leach coach?;SPORTS
what condition does michael j fox have?;HUMAN
where did jrr tolkien live?;LOC
what are the major languages of italy?;LANG
what to do in panama city beach fl?;DATE-TIME
where is san miguel mexico on map?;LOC
where does the tsunami happened in japan?;LOC
where are the great pyramid of giza located?;COMPANY
what was liam neeson's character in star wars?;TV
what team does sergio aguero play for?;SPORTS
what is the capital of georgia?;LOC
when did they stop making ford rangers?;DATE-TIME
what color is miley cyrus red hair?;['common.topic', 'dataworld.information_source', 'common.licensed_object']
what is chris paul's son name?;HUMAN
what did einstein invent?;SCIENCE
who does josh hutcherson play in the hunger games?;MOVIE
what is the state flag of colorado called?;['common.topic', 'symbols.flag']
who plays claire in lost?;ENTITY
who are senators from new jersey?;HUMAN
who does jamie campbell bower play in breaking dawn?;HUMAN
where marie curie come from?;LOC
who is facebook's founder?;ENTITY
what kind of money do you use in aruba?;CURRENCY
what language do people speak in costa rica?;LANG
what is lil wayne real name?;HUMAN
what is the political system of the us?;POLITICS
what religions are practiced in afghanistan?;LITERATURE
where is the world series 2012 being played?;LITERATURE
where does allen iverson live now?;LOC
where was dwight howard born?;LOC
where do guyanese people live?;LOC
where is alexandria located?;LOC
who was the fascist dictator of germany?;TV
what is australian currency?;CURRENCY
what did michelle obama do?;POLITICS
where do most chinese live?;LOC
when did the raiders win the superbowl?;TV
where is the euro used?;LOC
how rich is the roman catholic church?;LITERATURE
where did pixie lott go to school?;LOC
what date did we invade iraq?;DATE-TIME
what is the new orleans hornets new name?;SPORTS
what did darry look like?;MEDICINE
when did braves win the world series?;DATE-TIME
what is the name of walt disney's son?;HUMAN
what are some sights to see in rome?;LOC
what is the battle of antietam?;DATE-TIME
what time zone is it in london england?;TV
who was governor of texas in 2003?;HUMAN
what is yale university mascot?;None
what language group does polish belong to?;LANG
what is the name of the new orleans saints football stadium?;LOC
what are five countries that border france?;LOC
where was hockey world cup 2010 held?;MOVIE
when did yuvraj made his odi debut?;TV
what type of music was scott joplin noted for?;MUSIC
where did sergio romo go to college?;LOC
what happened to peter parker's uncle?;MOVIE
in what city did machiavelli live?;LOC
what illnesses did george washington have?;HUMAN
where is north port florida located?;LOC
who was the voice of kitt?;ENTITY
who is the speaker of the house of representatives currently?;HUMAN
when did sean murray first appear on ncis?;DATE-TIME
who is abraham maslow?;HUMAN
what is benedict arnold famous for?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
where is the original mona lisa?;LOC
what is jill wagner on wipeout?;TV
what type of language does peru speak?;LANG
which team does ronaldinho play for 2013?;ENTITY
what kind of books does nicholas sparks wrote?;['common.topic', 'base.type_ontology.non_agent', 'music.release', 'media_common.creative_work']
what happened to the people in chernobyl?;LOC
what countries has spanish as their official language?;LOC
what business does raj kundra do?;HUMAN
what movies is molly ringwald in?;MOVIE
what is the time zone in california called?;LOC
what did michael faraday accomplish?;LITERATURE
what was the name of the newspaper where hemingway wrote?;LITERATURE
who will alex smith play for in 2011?;ENTITY
what is the northeast of the united states?;LOC
what currency does brazil use?;CURRENCY
what timezone does sweden have?;None
who played lois en superman?;ENTITY
where does the zambezi river end?;ENTITY
what is the money currency in switzerland?;CURRENCY
what state did george washington live in?;LOC
where is mount vernon virginia?;LOC
where is kia car from?;LOC
where do the kansas city chiefs play?;LOC
what countries does the mississippi river run through?;LOC
in what modern country is the yucatan peninsula located?;LOC
who is lincoln steffens?;HUMAN
what type of political system does iran have?;POLITICS
who does the voice of lois in family guy?;HUMAN
what are all the movies channing tatum has been in?;MOVIE
what state did woodrow wilson represent?;LOC
what hardships did teddy roosevelt overcome?;HUMAN
where is university of alabama located?;LOC
who was arthur miller influenced by?;HUMAN
where is el salvador located?;LOC
what year was kevin durant drafted?;DATE
what illnesses did george washington suffer from?;HUMAN
what are some places to visit in barcelona?;LOC
who played princess leia from star wars?;ENTITY
who is the current queen of australia?;HUMAN
where did galileo go to school?;LOC
who did david villa play for?;ENTITY
what did copernicus invented?;SCIENCE
what's jamaica country code?;['common.topic', 'internet.top_level_domain']
where robert frost went to school?;LOC
what currency should i take to dubai?;CURRENCY
what county is plainfield il in?;LOC
what country is the mekong river located in?;LOC
who founded the sisters of saint joseph?;MOVIE
what is there to do in gatlinburg in december?;LOC
where does the english football team train?;LOC
who did anne frank wrote her diary to?;LITERATURE
who is tony romo engaged to?;HUMAN
what state was hillary clinton a senator for?;LOC
what market does starbucks operate in?;FOOD
what country does nike operate in?;LOC
what characters does trey parker voice?;TV
where will euro 2012 be?;LOC
who the voice of lois griffin?;HUMAN
when did the 7th harry potter book come out?;LITERATURE
where is south carolina located?;LOC
who are paul revere's parents?;HUMAN
what political system does russia use?;POLITICS
what are american staffordshire terriers?;['common.topic', 'base.webvideo.internet_video', 'base.webvideo.internet_video_episode', 'base.webvideo.topic']
what language is mainly spoken in england?;LANG
what awards has morgan freeman won?;ENTITY
who will michael schumacher drive for in 2013?;COMPANY
what kind of government does the united states have today?;POLITICS
what is the braves mascot?;ENTITY
where to stay in paris france?;LOC
what teams did george steinbrenner own?;ENTITY
what to see and do in revelstoke?;LOC
what land did god give to israel?;LOC
what guitar did andres segovia use?;['common.topic', 'base.type_ontology.non_agent', 'music.performance_role']
what style of art did vincent van gogh do?;COMPANY
where did the tutsi come from?;LOC
what country did osama bin laden live in?;LOC
where was the roman empire centered?;LOC
who played samuel sullivan in heroes?;HUMAN
what time zone is cincinnati oh in?;DATE-TIME
who was jacob riis and why was he important?;HUMAN
where does peter king live?;ENTITY
what are west african countries?;LOC
where are the mines in victoria?;LOC
what years have the cubs been in the world series?;DATE-TIME
what car companies does ford motor company own?;COMPANY
what type of government does the bahamas?;POLITICS
what style of music did jimi hendrix play?;MUSIC
what character does mila kunis play on family guy?;TV
who played anakin skywalker in phantom menace?;HUMAN
where is luke afb arizona?;LOC
what language people speak in belgium?;LANG
where was the battle of vicksburg located?;LOC
where is the cruise ship terminal in vancouver bc?;LOC
what was lincoln's wife's name?;HUMAN
what does the japanese call their country?;LOC
what did king george vi die of?;HUMAN
what type of currency is used in the united kingdom?;CURRENCY
when are school holidays in queensland 2013?;LOC
who plays the new michael myers?;HUMAN
who was killed first tupac or biggie?;HUMAN
who won the nobel peace prize in 2007?;ENTITY
what theme songs did alan thicke wrote?;MUSIC
what films did patrick swayze star in?;MOVIE
where is sony headquarters?;LOC
who plays sarah wittle in jumanji?;HUMAN
what type of music is tchaikovsky?;MUSIC
when is wimbledon tennis tournament?;DATE-TIME
what year did ted kennedy run for president?;DATE-TIME
what shows are on in london at the moment?;DATE-TIME
where is german an official language?;LOC
what language do you speak in iran?;LANG
who did tupac shakur date?;HUMAN
what did larry hagman die of?;HUMAN
who is the governor of colorado 2009?;HUMAN
what timezone is michigan usa?;None
who seized power in italy in 1922?;HUMAN
what show is jill wagner on?;COMPANY
who did megan fox have a baby with?;HUMAN
what currency does senegal use?;CURRENCY
what do ethnic russians look like?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group']
what places made up the western roman empire?;LOC
what experiments did marie curie conduct?;LITERATURE
what company did mitt romney run?;COMPANY
what is the king of spain's name?;ENTITY
who is blackwell?;HUMAN
where did justin bieber grew up?;LOC
what district does john cornyn represent?;LOC
who drafted kevin garnett?;SPORTS
what is zip code for chicago illinois?;LOC
what is the name of book written by helen keller?;LITERATURE
who did the voice of darth vader in star wars?;ENTITY
what are the duggars kids full names?;HUMAN
who is prime minister of japan 2011?;HUMAN
what year did aaron rodgers get drafted?;DATE
who plays the voice of kovu?;HUMAN
who is martin luther king jr wife?;ENTITY
who is the new governor of florida 2011?;HUMAN
what kind of money does the uk use?;CURRENCY
where in oklahoma are scorpions found?;LOC
where does the philadelphia union soccer team play?;LOC
where is the portuguese language derived from?;LOC
what 5 countries border ethiopia?;LOC
what city is the university of maryland university college in?;LOC
where did anne frank live before the war?;LOC
where was joseph p kennedy born?;ENTITY
who are iran's major trading partners?;LOC
where do the san francisco giants play baseball?;LOC
what happened to the battle of shiloh?;DESCRIPTION
what type of currency does egypt have?;CURRENCY
what state is kaplan university online located?;LOC
who do rastafarians worship?;LITERATURE
what timezone are the bahamas?;None
where did l frank baum die?;LOC
what inspired steinbeck to write?;ENTITY
who is the leader of cuba 2012?;HUMAN
where did gareth southgate play?;LOC
what musical instruments did duke ellington play?;MUSIC
what is the boston celtics current roster?;ENTITY
what features do islam and christianity have in common?;['base.skosbase.skos_concept']
what was queen victoria queen of?;LOC
what movies did robert blake play in?;MOVIE
what tv shows are taped in new york city?;ENTITY
what did gerald ford die of?;HUMAN
where is the gobi desert located?;LOC
who is prime minister of japan 2012?;HUMAN
what city was barack obama born in?;LOC
what airport do you fly into to get to cabo san lucas?;LOC
what countries speak spanish wikipedia?;LOC
who runs china 2011?;HUMAN
what major airport is near destin florida?;None
what country did vasco da gama came from?;LOC
what is the current government of vietnam?;POLITICS
what does nazis stand for?;COMPANY
where is the nfl hall of fame located and when was the building opened?;LOC
where did laura ingalls wilder live?;LOC
where christopher columbus was born?;LOC
who did kat graham play in parent trap?;MOVIE
what does sammy hagar sing?;MUSIC
who plays young lex luthor in smallville?;ENTITY
what are the main sports in new zealand?;SPORTS
who makes lois griffin voice?;HUMAN
what is the zip code for trenton ga?;LOC
what language do you speak in finland?;LANG
what inventions did da vinci made?;SCIENCE
what was lebron james rookie year?;None
what are shirley temple kids names?;HUMAN
who does malcom floyd play for?;SPORTS
what did kourtney kardashian go to college for?;LOC
what are the four official languages of nigeria?;LANG
where is bergen belsen concentration camp located?;LOC
what was the name of tecumseh brother?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what did donna summers die from?;HUMAN
what year did allen iverson get married?;TV
where was selena gomez really born?;LOC
what is the best neighborhood to live in in philadelphia?;MOVIE
when did the battle of thermopylae occur?;LOC
where did eleanor roosevelt go to school?;COMPANY
what do you say after a sneeze in german?;LANG
where is husqvarna 235 made?;LOC
what do people speak in singapore?;LANG
what is the currency in slovakia 2012?;CURRENCY
what is the mascot of dartmouth college?;['type.content', 'common.image']
who pays social security and medicare?;COMPANY
what movies star adam sandler?;MOVIE
what university did bill clinton graduated from?;LOC
where did president kennedy go to school?;ENTITY
when did the ny knicks last win a championship?;DATE-TIME
what happened at fukushima daiichi nuclear plant?;DESCRIPTION
who was louis kossuth?;HUMAN
when did the red sox win the pennant?;DATE-TIME
where did harry truman die?;LOC
what was prince charles last name?;HUMAN
what was reagan before president?;COMPANY
where did bernie madoff work?;COMPANY
what website did mark zuckerberg co founder?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'music.album']
what bass does jared followill use?;['base.wordnet.word']
who played captain kirk in star trek?;ENTITY
where is canadian county oklahoma?;LOC
in which province islamabad is located?;LOC
what does rob kardashian do for living?;ENTITY
what did nintendo announce at e3 2012?;COMPANY
what can you do in palm springs ca?;['type.content', 'common.image']
where is red lake ontario?;LOC
when was the last time the ny giants played in the superbowl?;TV
who was the president of pakistan in 1980?;HUMAN
which college did barack obama attend?;LOC
where was st elizabeth ann seton born?;ENTITY
what does the adriatic sea border?;LOC
what teams played in the 2010 stanley cup?;SPORTS
what colony is john adams from?;LOC
what countries do germany border?;LOC
who does russia trade with the most?;LOC
where was abraham lincoln buried?;LOC
who was the grandson of king david's father?;HUMAN
when president lincoln was elected?;DATE-TIME
what did theodore roosevelt do that brought him to national prominence?;MOVIE
where is devon sawa now?;LOC
who did the cleveland browns draft?;HUMAN
who was marilyn monroe's parents?;HUMAN
where is shoreditch?;LOC
what should i do today in houston?;LOC
where does the spanish language come from?;LOC
when do they change the time in london?;TV
what timezone is tennessee nashville?;LOC
what political party was henry clay?;COMPANY
what is capital city of ontario?;LOC
what money is used in england?;CURRENCY
what was walt disney's first cartoon called?;MOVIE
what did mary harris jones accomplish?;['common.topic', 'base.popstra.topic', 'base.popstra.sww_base', 'organization.organization_sector', 'user.micahsaul.advertising.advertised_thing', 'base.activism.topic', 'base.popstra.organization', 'base.activism.activism_issue']
what currency do i need in egypt?;CURRENCY
where is ellis park rugby stadium?;ENTITY
what does the letters eu stand for?;ENTITY
what are the 5 countries in the united kingdom?;LOC
what label is jojo signed to?;ENTITY
where did douglas macarthur die?;LOC
what does russian people speak?;LANG
who is playing jason morgan on general hospital?;ENTITY
where is hong kong china?;LOC
who does david beckham play for in 2013?;SPORTS
who nikki reed play in twilight?;MOVIE
who does blake griffin play for in the nba?;SPORTS
who played mulder in the x files?;ENTITY
who are the current maryland senators?;HUMAN
where is the capital of canada on the map?;LOC
what time does barnes and noble close on saturday?;COMPANY
what was francisco vasquez de coronado known for?;LOC
what form of government does greece use?;LITERATURE
where did the columbia river begin?;LOC
who was the original voice of meg on family guy?;ENTITY
who did matt barnes married?;HUMAN
who won the nobel peace prize in 2011 for physics?;ENTITY
what is jessica ennis sport?;SPORTS
where is tahiti bora bora?;LOC
where did joe namath live?;LOC
who is my state senator and representative minnesota?;ENTITY
what films has kristen stewart starred in?;MOVIE
where do samsung lions play?;LOC
what teams did derek fisher play for in the nba?;ENTITY
who did mike tomlin play for?;ENTITY
what kind of currency does cuba use?;CURRENCY
what movies have robert pattinson starred in?;MOVIE
what are the zoroastrian scriptures called?;LITERATURE
what political party is barack obama from?;COMPANY
what organization did martin luther king lead?;LITERATURE
what was arthur conan doyle famous for?;TV
what year did michael jordan started his career?;DATE
what currency should you take to thailand?;CURRENCY
what kind of guitar does jemaine clement play?;EDUCATION
where was lance armstrong born and in what year?;DATE
what kind of money is used in israel?;CURRENCY
where is george bush from?;LOC
what did william howe do in the revolutionary war?;ART
what is north dakota state's mascot?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what is the work of charles darwin?;LITERATURE
what movies have adam sandler been in?;MOVIE
where did phil mickelson go to college?;LOC
what is the most practiced religion in the us?;LITERATURE
what does duffy sing?;ENTITY
what school did tupac go to?;LOC
where did the flemish live?;LOC
what year did the houston rockets win their first championship?;DATE-TIME
what college did harry s. truman attend?;None
what is the official language spoken in mexico?;LANG
what religion in thailand?;LITERATURE
who is queen elizabeth 1 father?;HUMAN
what other languages does switzerland speak?;LANG
what team is ronaldinho on?;None
what kind of government system does canada have?;POLITICS
what type of government did sparta greece have?;POLITICS
where to vacation in italy in august?;LITERATURE
what kind of voting system does japan have?;POLITICS
what are the names of all the countries in africa?;LOC
who started the first persian gulf war?;LOC
what is the name of the pittsburgh steelers stadium?;LOC
where was nicki minaj born?;LOC
what was jesse james wife name?;HUMAN
who plays spike in buffy the vampire slayer?;HUMAN
where was emperor hadrian born?;LOC
who became president when roosevelt died in office?;HUMAN
where did martin luther king went to school?;LOC
where did charles drew go to college?;LOC
what was the colosseum in rome used for?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group']
who plays lynette on desperate housewives?;ENTITY
what year was michael jordan rookie year?;DATE
what timezone is the state of texas?;LOC
what airport is closest to ithaca ny?;LOC
where did kurt cobain die?;LOC
what county is jackson michigan in?;LOC
where was the battle of verdun held?;LOC
who played boss hogg dukes of hazzard?;HUMAN
who played kitt in knight rider?;ENTITY
what religion did the ottoman turks follow?;LITERATURE
what is vanderbilt university known for?;LOC
what religion is king henry viii?;LITERATURE
what countries did germany take over during world war 2?;LOC
where did james baldwin go to school?;COMPANY
who was joseph pulitzer and what did he do?;HUMAN
what was basketball player michael jordan's major in college?;['base.skosbase.skos_concept']
who made the american red cross?;HUMAN
what kind government does canada have?;POLITICS
what did newton discover or invent?;SCIENCE
who played daniel larusso?;HUMAN
what happened to umaga wwe?;DESCRIPTION
when is the next geneva motor show?;DATE-TIME
when and where did the battle of antietam take place?;LOC
what movies did jj abrams direct?;TV
what countries does armenia border?;LOC
what season does haley have her second baby?;LOC
when richard nixon was president?;DATE-TIME
what job did martin luther king jr have?;HUMAN
what characters does seth macfarlane voice?;HUMAN
where did macho camacho got shot at?;LOC
who is andrew carnegie and what did he do?;ENTITY
who plays lorne on angel?;HUMAN
what form of government exists in china?;POLITICS
who is jeremy sumpter?;HUMAN
when last did real madrid win the champions league?;DATE-TIME
who was the winner of the 2009 nobel peace prize?;ENTITY
who is ruling north korea now?;HUMAN
who does cristiano ronaldo play for now 2011?;SPORTS
what state did henry clay represent?;LOC
what country was vasco nunez de balboa born in?;LOC
which states does the mississippi river pass through?;LOC
who was the emperor before nero?;HUMAN
what type of artwork did henri matisse produce?;ART
what is gibby's mom's name?;HUMAN
what type of music does ella fitzgerald sing?;MUSIC
what movies are directed by steven spielberg?;MOVIE
what instrument does mike huckabee play?;MUSIC
what movies does matt damon play in?;MOVIE
what movies does alyson stoner play in?;MOVIE
who did paul jr marry?;HUMAN
when are school holidays in uk 2011?;LOC
what region is czech republic in?;LITERATURE
who raised queen victoria?;HUMAN
who are the famous athletes in kenya?;HUMAN
what to see in staten island new york?;LOC
what continent is greenland located?;LOC
what teams did gretzky play on?;SPORTS
where was obama educated?;LOC
who did wayne gretzky play 4?;SPORTS
who played sean in scrubs?;TV
what is the name of the main train station in san francisco?;LOC
what is the large mountain range in the western united states?;['common.topic', 'music.release_track']
what is brazilian jiu jitsu?;SPORTS
where did the battle of new orleans start?;LOC
what does the dominican republic speak?;LANG
when did barry zito won the cy young?;DATE-TIME
who is paul revere and what did he do?;HUMAN
what airlines hub in phoenix?;LOC
where did cutler jay go to college?;LOC
who did etta james marry?;HUMAN
who played andy in toy story 3?;HUMAN
who was galileo galilei?;HUMAN
what school did bill gates go to?;LOC
what movies did miley cyrus play in?;MOVIE
what country does dubai come under?;LOC
where does the panama canal run through?;LOC
what years did jackie robinson play baseball?;DATE-TIME
what countries use english as national language?;LOC
where does jason statham live?;LOC
what are the natural resources in wisconsin?;DATE-TIME
what language is cyprus using?;LANG
what to do in roatan bay?;LOC
what is the rainforest in peru called?;LOC
where is mount jefferson located?;LOC
what is the state symbols of colorado?;['base.skosbase.skos_concept']
where did buzz williams go to college?;LOC
which airport is closest to the city of chicago?;LOC
what part of the world is south africa in?;['common.topic', 'music.release_track']
what movies did adam sandler play in?;MOVIE
who to vote for in san francisco 2012?;COMPANY
who is the current leader of china and what is their title?;HUMAN
when did aldi originate?;DATE-TIME
who created microsoft windows?;ENTITY
what is john steinbeck best known for?;ENTITY
when was barack obama elected president?;DATE-TIME
who nominated anthony kennedy?;ENTITY
who was the voice of darth vader in episode iii?;ENTITY
where the french language come from?;EDUCATION
what is the government of chile?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group']
what movie does natalie portman play in?;MOVIE
who is the head coach of the new orleans saints?;ENTITY
what movies does zac efron star in?;MOVIE
what is the political system of nigeria?;POLITICS
where is puerto galera?;LOC
where is the battle of verdun located?;LOC
what all did michael jackson own?;LOC
what form of government does canada have?;POLITICS
what language does people speak in australia?;LANG
what jersey will the packers wear in the super bowl?;ART
who controls panama?;HUMAN
when did baltimore orioles win the world series?;DATE-TIME
what to do and see in miami florida?;LOC
what is happening in germany right now?;DATE-TIME
what movies did chris farley do?;MOVIE
who plays nana in the royal family?;ENTITY
who helped china in ww2?;LOC
where george washington carver go to school?;LOC
who plays steffy on bold and the beautiful?;HUMAN
where was the earthquake in christchurch?;LOC
what timezone is reno nv?;LOC
what is latin america spanish?;['base.skosbase.skos_concept']
what continent does the bahamas belong to?;LOC
where is baybrook mall?;LOC
where did isaac newton go to high school?;COMPANY
what planet did princess leia call home?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording']
where did english numbers originate from?;LANG
what kind of money do you use in costa rica?;CURRENCY
what year did spudd webb won the dunk contest?;DATE
what did randy jackson play in journey?;['base.wordnet.word']
where to stay in south rim grand canyon?;LOC
what beach did the canadians assault?;HUMAN
what currency can you use in aruba?;CURRENCY
where does roman abramovich live?;ENTITY
who is nolan ryan married to?;HUMAN
where to travel in africa in january?;LOC
who played carlton banks?;ENTITY
who does matt damon have kids with?;HUMAN
who is the current leader of cuba today?;HUMAN
what did anasazi indians live in?;TV
what part of italy did most immigrants come from?;None
what hotel should i stay in san francisco?;LOC
what events led to napoleon's downfall?;HUMAN
where is whitey bulger?;ENTITY
who created youtube?;ENTITY
what to do in hong kong for a week?;LOC
what currency does greece use 2012?;CURRENCY
what is fresno state's zip code?;LOC
who is angelina jolie husband name?;ENTITY
what kourtney kardashian baby girls name?;HUMAN
what is the present form of government in iran?;POLITICS
who did marco polo travel with?;HUMAN
what does icelandic sound like?;EDUCATION
where does bill richardson live?;LOC
what to do in dubuque this weekend?;LOC
what club did aguero play for before man city?;None
who plays jay adams in lords of dogtown?;TV
what system of government is used in the united states of america?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group']
what is beyonce's daughters name?;None
when did the colts last win the superbowl?;ENTITY
what college did michael jordan play basketball for?;LOC
what songs has madonna written?;MOVIE
who was andrew johnson and what did he do?;MOVIE
what are the best hotels to stay in san francisco?;LOC
who was lincoln's vice president when he died?;ENTITY
where did pope benedict xvi live?;LOC
where is tommy emmanuel from?;LOC
with which country does south africa border?;LOC
what is there to do around austin texas?;COMPANY
who plays effy in skins uk?;HUMAN
what countries use the euro as official currency?;LOC
what kind of money do the netherlands use?;CURRENCY
which college did obama graduated?;LOC
who are richard pryor children?;HUMAN
who is golfer dustin johnson dating?;HUMAN
what are the official languages in spain?;LANG
what club did santi cazorla play for?;ENTITY
where does the atlanta braves play?;LOC
what year did detroit pistons win nba championships?;DATE-TIME
what each fold of the us flag means?;LOC
what do people from spain speak?;LANG
who did king tut married?;HUMAN
how old was woodrow wilson when he was elected president?;DATE-TIME
what political party did john bell belong to?;COMPANY
what religion is mary queen of scots?;LITERATURE
who is chris cooley married to?;HUMAN
where is port st johns florida?;LOC
what teams does kroenke own?;ENTITY
what did theodor schwann contribute to our understanding of cells?;LITERATURE
where is kate spade from?;LOC
what countries are in the caribbean?;LOC
what freeview channel is bbc three?;TV
what party was woodrow wilson from?;COMPANY
what part does seth macfarlane play in family guy?;HUMAN
what type of government does vietnam have today?;POLITICS
what did ben hall do?;HUMAN
where is the university of oregon state?;LOC
where put thermometer in turkey?;LOC
who did george wendt play on cheers?;TV
what division did the baltimore colts play in?;COMPANY
what year did us invaded iraq?;DATE-TIME
what is the local currency in the dominican republic?;CURRENCY
what is the capital city of canada on a map?;LOC
what ethnicity are people from iran?;['common.topic', 'music.release_track']
where did the germans come from wiki?;LOC
what movie did tom hanks won his first oscar?;MOVIE
when was ancient egypt created?;DATE-TIME
what famous people are from kansas city?;HUMAN
what country did francis drake represent?;LOC
what timezone is indianapolis indiana in?;None
what did darwin propose as the mechanism of evolution?;None
what are popular sports in spain?;ENTITY
what did corey haim act in?;MOVIE
who is the publisher of the wall street journal?;LITERATURE
what do tibetan people speak?;LANG
what form of government does afghanistan have?;POLITICS
who was the wife of king edward vii?;HUMAN
what position did john stockton play?;SPORTS
when did freddy krueger die?;MOVIE
what is there to do in niagara falls new york?;LOC
who played bernie focker?;ENTITY
who did troy aikman play for?;ENTITY
who was mendel and what did he develop?;HUMAN
where is universal studios california theme park?;LOC
where the grimm brothers were born?;LITERATURE
what sport is popular in china?;SPORTS
what continent is greenland apart of?;LOC
which books did john the apostle write?;LITERATURE
who made the ancient egyptian pyramids?;HUMAN
where did the san diego chargers originate?;SPORTS
who was the voice of nemo's dad?;ENTITY
what 4 countries are part of the united kingdom?;LOC
who was king george v father?;HUMAN
who played michael myers in halloween 4?;HUMAN
what language do chinese?;LANG
what did daniel tosh say that was so offensive?;MOVIE
what happened to nagasaki?;DATE-TIME
what movies did james franco play in?;MOVIE
what does bob dylan sing?;ENTITY
what year did john adams get elected president?;DATE
what to do in palo alto ca with kids?;LOC
what are the holidays of islam?;LITERATURE
who did magellan sail for?;HUMAN
where did irish people come from?;LOC
what to see in downtown asheville nc?;LOC
where did carrie underwood live?;LOC
what sports do canadians like?;SPORTS
when did carolina hurricanes win the cup?;DATE-TIME
who currently owns the steelers?;HUMAN
where was toni braxton born and raised?;LOC
who has dirk nowitzki played for?;ENTITY
what is the currency in the dominican republic called?;CURRENCY
what did maria theresa rule?;['common.topic', 'base.type_ontology.non_agent', 'music.release', 'media_common.creative_work']
what was jack london's education?;LOC
what club team does ronaldinho play for?;None
which countries share borders with spain?;LOC
what state did roger sherman represent at the constitutional convention?;LOC
what type of money do japanese use?;CURRENCY
what county is bradenton fl located in?;LOC
what movies has scarlett johansson played in?;MOVIE
what is the philadelphia church of god?;['base.skosbase.skos_concept', 'base.schemastaging.non_profit_classification']
where did david duke go to college?;COMPANY
where does bradley cooper live now?;LOC
what country did vasco da gama come from?;LOC
what country do they speak farsi?;LOC
who did japan surrender to in ww2?;HUMAN
where does luke skywalker live in star wars?;LOC
what is time zone in hawaii?;DATE-TIME
what is john cena doing right now?;TV
what are two countries in south america?;LOC
where did kobe bryant attend high school?;COMPANY
what country is vatican city in?;LOC
who played princess leia's mother in star wars?;HUMAN
what type of voting system does the uk have?;ENTITY
where donald trump went to college?;LOC
what did john howard study at university?;EDUCATION
what did duke ellington do?;['http://www.w3.org/2000/01/rdf-schema#Class']
from which university did president obama receive his bachelor's degree?;LOC
when was the last time the new england patriots won the superbowl?;TV
what films has morgan freeman narrated?;MOVIE
where are the atlanta falcons located?;LOC
what is st francis patron saint of?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
where was tommy emmanuel born?;LOC
