question;label;suggested
What is the label rustic overtones is associated with?;Agent;TopicalConcept
What's a talk radio show broadcast in Los Angeles?;Agent;Work
Where does the namesake opel come from?;Agent;MeanOfTransportation
What's an artist under island records;Agent;Work
What genre is the netflix title angel rodriguez in?;Agent;TopicalConcept
which experimental rock was founded in 1991;Agent;Work
public school (government funded) is the school category of this Harris County,Texas high school.;Agent;Disease
boesman and lena is a story by?;Agent;Work
What is the subject of the written work the magnum opus or the great work?;Agent;TopicalConcept
what is an album recorded by kannathil muthamittal;Agent;Work
what kind of book is the giza death star deployed;Agent;MeanOfTransportation
What would be considered post-punk;Agent;Work
what music genre is on song cinema?;Agent;TopicalConcept
who's cause of death was an aviation accident or incident;Agent;Disease
who was involved in operation sirat-e-mustaqeem;Agent;Place
who was involved in the invasion of hamra al-asad?;Agent;EthnicGroup
What's the make of a second generation pontiac gto;Agent;MeanOfTransportation
What  genre of music does daddy dj create;Agent;TopicalConcept
which subjects is covered in the film i will follow?;Agent;Event
what is the netflix genre of vendetta?;Agent;TopicalConcept
what is the title of chloe's song;Agent;Work
what is the name of a blues guitarist and singer publish by tradition records;Agent;Work
what is the topic of the written piece the passing of the great reform bill;Agent;Work
what type of music does pelle carlberg play?;Agent;TopicalConcept
what's the name of an electronica artist;Agent;Work
who published the videogame duke nukem: time to kill;Agent;Device
What subject is the written work when we were orphans about?;Agent;Place
what's one of the things that far ridges talk about;Agent;Activity
What ocean is darwin island in;Agent;Place
What created kate spade new york;Agent;Work
What genre of artist is mice parade?;Agent;TopicalConcept
what is the publisher company of the x-com game;Agent;Work
what kind of music is on combat rock?;Agent;TopicalConcept
name a song recorded by the artist hall & oates.;Agent;Work
What is a case of an accident involving a mcdonnell douglas md-11;Agent;Event
where did the bombardment of ellwood take place;Agent;Place
what kind of music is on the nutcracker suite?;Agent;TopicalConcept
what music is in the film tammy and the bachelor?;Agent;Work
what is the subject of goyas ghosts;Agent;Work
What type of music does kvitretten write;Agent;TopicalConcept
what was kim kyung-mok's place of birth;Agent;Place
What was the primary political view in northern alliance?;Agent;EthnicGroup
what music was in x-men: days of future past;Agent;TopicalConcept
which organization is afghanistan;Agent;Place
which television channel broadcasts music by claudio abbado;Agent;Work
what is a recording by james brown;Agent;Work
Where is the Space Flight Operations Facility located?;Agent;Place
what is a type of public school?;Agent;Disease
What was the 2006 uci protour an instance of?;Agent;Work
which song was created by the cascades;Agent;Work
what musical instrument does louis eliot play;Agent;AnatomicalStructure
what is the name of a Canadian choreographer;Agent;Work
what is the publisher for the computer videogame timeshift;Agent;Device
what type of music does moloko belong to;Agent;TopicalConcept
what insturment does ryan key play;Agent;Work
whats the name of the artist who made ambient compendium;Agent;Work
What is the subject of the film  deported;Agent;Event
What is an example of a reality porn website?;Agent;Work
Who is the publisher of the game beatmania iidx 5th style;Agent;Device
what is located in wiltshire?;Agent;Place
what sport teams are in county durham?;Agent;Activity
what does serj tankian use for an instrument;Agent;AnatomicalStructure
What is an example of a sports radio;Agent;Work
whats a city in pennsylvania;Agent;Place
What produced the album lady in autumn: the best of the verve years;Agent;Work
what kind of music artist is the hylozoists?;Agent;TopicalConcept
what's something named after martina navratilova;Agent;Work
which tim plays the recorder;Agent;Work
which track is created by mark linkous;Agent;Work
What was the subject of the book sasquatch;Agent;Work
what is the name of the production company that released fright night ii?;Agent;Work
what kind of artwork did drawing produce?;Agent;Work
what did flying lotus play;Agent;Work
lotus challenge is a game published by who?;Agent;Work
What genre is the hudsucker proxy;Agent;TopicalConcept
which music is used in terminator 3: rise of the machines;Agent;Work
what album is produced by holger hiller;Agent;Work
what's the name of a prominent performer of progressive rock;Agent;Work
what type of music genre does oliver mandi�� belong to?;Agent;TopicalConcept
What genre of music is jasmine ann allen;Agent;TopicalConcept
what is the genre of dana carvey: critics choice?;Agent;TopicalConcept
what is madison mckoy's musical profession?;Agent;TopicalConcept
which music is in koi aap sa;Agent;TopicalConcept
What is the name of a indie pop group;Agent;Work
who was involved in july revolution;Agent;Event
what is the make of a shelby lancer?;Agent;Place
what types of music is played by harold faltermeyer;Agent;TopicalConcept
what kind of music is on all the pretty boys?;Agent;TopicalConcept
what is the name of a indie pop artist;Agent;Work
what is the publisher rail sim pro;Agent;Work
what kind of music does ray cooper make?;Agent;TopicalConcept
what industry is hop studios in;Agent;TopicalConcept
which films were directed by excuse my dust?;Agent;Work
what is the story of the road (film);Agent;Work
what subject is the film i was nineteen about;Agent;Event
how would the besnard lakes' music best be described;Agent;TopicalConcept
What type of collectible is trace of lace barbie doll #g7212b;Agent;Work
What's a football team that plays in cambodia;Agent;Activity
which ivy league university did ezra cornell create;Agent;Work
What instruments does caribou (musician) use;Agent;AnatomicalStructure
Name a place located in saint kitts.;Agent;Place
What is the focus city of glasgow airport?;Agent;Place
what is an example of a topic;Agent;Work
what is the subject of music in the tuileries?;Agent;AnatomicalStructure
what is the label of draw the line (bonus disc)?;Agent;Work
What did jacques lacan write about?;Agent;Work
what types of music is played by scott bradley;Agent;TopicalConcept
which city uses the copenhagen airport;Agent;Place
What is a work written by alan ayckbourn?;Agent;Work
What was named after thomas green clemson;Agent;Work
what is the genre of the book shouting fire;Agent;MeanOfTransportation
whats the genre of the book the art galleries of britain and ireland;Agent;MeanOfTransportation
What is the production company that created murder at the vanities;Agent;Work
what is something named after john glenn;Agent;Work
What are people born in roxboro refered to as;Agent;EthnicGroup
What type of music does tolga katas make?;Agent;TopicalConcept
What is a possible book edition of darkness visible?;Agent;Work
who was involved in battle of abensberg;Agent;Place
what is a popular character created by kurogane;Agent;Work
What killed jean-claude benguigui?;Agent;Disease
what is the name of a winery found in new jersey;Agent;Place
what is the cinematographer of speed racer;Agent;Work
what is the topic of the great reforms?;Agent;Place
what Italian-American pianist does rca promote;Agent;Work
what genre the smooth sounds of josh rouse;Agent;TopicalConcept
what kind of music does quentin elias make;Agent;TopicalConcept
what is the aircraft model of grumman f8f bearcat;Agent;MeanOfTransportation
which style of music is the album berlin babylon under?;Agent;TopicalConcept
what is an indie underground hip hop rap duo from Saint Paul;Agent;Work
whats the production company of  the tiger;Agent;Work
what type of album is the last airbender;Agent;TopicalConcept
what is the music in the film liza with a z?;Agent;Work
name a literary magazine;Agent;Work
What is the genre that elena kats-chernin falls under;Agent;TopicalConcept
what make is the oldsmobile cutlass ciera;Agent;MeanOfTransportation
Where does bombardment of upolu take place?;Agent;Place
what is a studio album released in 1998;Agent;Work
what is the film the stranger about;Agent;Work
what is a famous hate crime murder;Agent;Work
what is the topic of the exhibition toulouse-lautrec and montmartre;Agent;Place
Who makes the canon powershot sd880 is;Agent;Device
where was alpha sigma tau founded?;Agent;Place
what is the production company that produced i married a witch?;Agent;Work
Who was involved in the crimean war;Agent;Place
what type of school is public school?;Agent;Disease
Who was involved in the illinois campaign event;Agent;Place
What genre is the book the modern rules of style;Agent;MeanOfTransportation
chuck acoustic ep is an album labeled as this type of music.;Agent;TopicalConcept
Which topic gallery can you find the image centermap highlighting county kilkenny?;Agent;Place
What's the artist that made just friends;Agent;Work
in what movement did august schmidhuber participate;Agent;TopicalConcept
What is a character created by keron grant;Agent;Work
What is the name of a popular jazz fusion artist;Agent;Work
On netflix, la sylphide (paris opera ballet) is under what genre of film?;Agent;Work
why wrote lyrics for go right ahead;Agent;Work
which country did myung jae nam die in;Agent;Place
who participated in the crimean war;Agent;EthnicGroup
what disaster killed georg stein;Agent;Event
what type of series is californication (tv series)?;Agent;Work
which song was created by the almighty r.s.o.;Agent;Work
who was involved in the battle of kings mountain;Agent;Place
whats the subject of  sydney lacan workshop;Agent;AnatomicalStructure
who is the videogame publisher of road rash;Agent;Work
who is a character created by steve ditko;Agent;Work
Who was involved in the siege of Fort Ticonderoga?;Agent;EthnicGroup
what is the topic of stoned (film)?;Agent;Event
Who published the game fiskadoro;Agent;Work
Which genre does zach ashton fall in?;Agent;TopicalConcept
Who published the game the faery tale adventure;Agent;Work
Name a recording by reel wolf: the underworld;Agent;Work
what is the name of a publishing company;Agent;Work
what is the subject of jefferson in paris;Agent;Event
what's the name of an artist who released a song called detroit;Agent;Work
what kinds of music is illuminate;Agent;TopicalConcept
was atep rizal or beyonce knowles born in cianjur;Agent;Place
what record lable worked with fernando garibay;Agent;Work
what is a pop music group;Agent;Work
who is a superhero;Agent;Work
which music company is ryan montgomery with?;Agent;Work
who participated in the vietnam war;Agent;EthnicGroup
What's an example of a heavy metal artist;Agent;Work
which1970s group recorded anthology, volume one;Agent;Work
what type of armed forces is the 7th indiana infantry regiment?;Agent;MeanOfTransportation
What genre of music is the album Laura Branigan?;Agent;TopicalConcept
Who is a breeder of azamour?;Agent;Species
What's a basketball team in russia;Agent;Activity
what type of music does michael jeffrey shapiro play;Agent;TopicalConcept
which theater and film producer was sophia hellerman's son;Agent;Work
who is of white american ethnicity;Agent;EthnicGroup
whats the name of a producer for the release taller in more ways;Agent;Work
what genre is the artist samanthacole's music;Agent;TopicalConcept
which genre is the chemistry and medical debate;Agent;TopicalConcept
What's a football team that plays in the EPL;Agent;Activity
whats an example of a mixed-sex education;Agent;Work
what record is produced by ronnie mcdowell;Agent;Work
what book genre is adventures from the technology underground;Agent;MeanOfTransportation
What area is contained in West Yorkshire?;Agent;Place
what are some of the tourist attractions nearby phnom penh?;Agent;Place
what was the reason for ceasing operations in sc veendam;Agent;Disease
what collection is barbie as swan ballerina from swan lake in?;Agent;Work
Who's a character in the book ������������������������;Agent;Work
to which goverment institution does benicia capitol state historic park belong;Agent;Place
what is the producing company of the game resident evil: the mercenaries 3d;Agent;Work
what genre of music is gangway categorized as;Agent;TopicalConcept
What is a song recorded by leave in silence;Agent;Work
What baseball team does saitama seibu lions belong to;Agent;Activity
what musical genre is delkash;Agent;TopicalConcept
what type of music does dayal thakur perform;Agent;TopicalConcept
what genre of music does gar��ar th��r cortes play;Agent;TopicalConcept
what music is in tmnt (film)?;Agent;TopicalConcept
What is the format of vermont public radio;Agent;Work
What's a african american character in fiction;Agent;Work
who published the game dungeon siege;Agent;Work
what music is produced by green river ordinance;Agent;Work
What was miss teen usa 1998 an example of;Agent;Work
which painting artist is from new york city?;Agent;Work
what restaurant is considered delicatessen?;Agent;Place
what is the occupation of emma pollock;Agent;Activity
what type of Indian popular music is performed by kishore kumar;Agent;TopicalConcept
who published the shin megami tensei game version;Agent;Device
What netflix genre best describes ivo pogorelich: recital;Agent;TopicalConcept
what kind of music is parachute club;Agent;TopicalConcept
what is the name of the metal band authors of the full circle album;Agent;Work
which album is produced by unheilig;Agent;Work
What is inside sri lanka;Agent;Place
what type of music is bellarive;Agent;TopicalConcept
What was named after francis de sales;Agent;Work
who published the game version night watch;Agent;Device
What music genre does the album who you are fall under?;Agent;TopicalConcept
who influenced angana p. chatterji;Agent;EthnicGroup
which entity was involved in the western sahara conflict;Agent;Place
which system is located in san francisco;Agent;Place
what is marisol nichols's religion;Agent;EthnicGroup
what is the subject of nell gwynn?;Agent;Disease
what is a type of secondary school;Agent;Disease
which album is recorded by big daddy kane;Agent;Work
where was  beta alpha psi founded;Agent;Place
What is the name of the artist from the album  j'ai deux amours;Agent;Work
what systems developer developed rock band 3;Agent;Device
What does ��ric lapointe do;Agent;Work
where does the image john stuart mill born-died appear?;Agent;Place
Which type of music is on the album titled for every man;Agent;TopicalConcept
what's the name of a prominent television director;Agent;Work
what is a type of high school in Wisconsin?;Agent;Disease
Name a place in Frankfurt.;Agent;Place
what system does the u2 belong to;Agent;TopicalConcept
what music was played in coriolanus;Agent;TopicalConcept
myocardial infarction caused whose death?;Agent;Disease
is body talk dance music or classical;Agent;TopicalConcept
what is the art subject of a specific self portrait;Agent;Work
which disaster did louis-christophe zaleski-zamenhof survive from;Agent;Event
what are some recordings by the artist like a rolling stone?;Agent;Work
what type of instrument does seth swirsky play?;Agent;AnatomicalStructure
what was named after john calvin;Agent;Food
what books are about adventure;Agent;Work
What kind of music does joi play;Agent;TopicalConcept
What is the subject of the book rogue nation;Agent;Place
What ocean is featured in the book titled escape from the deep;Agent;AnatomicalStructure
Name a place located in thailand;Agent;Place
What's an instrument that george gabriel plays;Agent;AnatomicalStructure
which movie genre is great russian composers: peter tchaikovsky categorized as;Agent;TopicalConcept
Name a film director;Agent;Work
what music is in la minaccia;Agent;TopicalConcept
What genre of music does joel madden make?;Agent;TopicalConcept
What campus is saybrook graduate school and research center located on;Agent;Place
What is a variation of plucked string instruments?;Agent;Work
What type of music does robin mark create;Agent;TopicalConcept
what film was produced by rubber johnny;Agent;Work
What's an example of a experimental music artist;Agent;Work
who was gunnison river's namesake;Agent;Place
which musical content did jimi hendrix provided?;Agent;TopicalConcept
What is a title in the netflix genre hobbies & games?;Agent;Work
in what genre does thea king perform;Agent;TopicalConcept
what kind of music does quintessenz ��� leipziger querfl��tenensemble play;Agent;TopicalConcept
What type of military unit is 96th illinois volunteer infantry regiment in?;Agent;MeanOfTransportation
what is the make of the cars refactor austin 1800;Agent;MeanOfTransportation
Where is hampshire?;Agent;Place
what is the organization sector of statistics;Agent;Work
Which topic gallery does pepperdine university malibu canyon entrance gate appear in;Agent;Work
what is a name of music produced by paul banks;Agent;Work
what body of water does motu one belong to;Agent;Place
what's the magazine muzik about;Agent;Work
Who's cause of death was a complication?;Agent;Disease
which melissa composed sympathy;Agent;Work
What scene and costume designer was born in edinburgh?;Agent;Work
which album is created by deerhoof;Agent;Work
what league is tohoku rakuten golden eagles from?;Agent;Activity
What is the genre of the netflix film gala concert: 300 years of st. petersburg;Agent;TopicalConcept
who was involved in battle of lake regillus;Agent;Place
what kind of instrument does jean-jacques burnel play;Agent;TopicalConcept
what genre is the netflix title otello;Agent;TopicalConcept
What is the name of an american actress?;Agent;Work
what music appears in the film 1991: the year punk broke;Agent;Work
who published the rave master game;Agent;Work
what is delhi sultanate's familial line;Agent;Place
what genre of music is anil johnson affiliated with;Agent;TopicalConcept
What kind of music does mikey wax record?;Agent;TopicalConcept
Which game publisher released space chimps;Agent;Work
What netflix genre is earthly possessions;Agent;TopicalConcept
What is the film without limits about?;Agent;Work
where in colombia was cali born?;Agent;Place
what genre is the tree where man was born?;Agent;MeanOfTransportation
what type of credit card does golden benefits insurance services accept;Agent;Currency
what stations is gospel music played on;Agent;Place
Who published the game  halo: combat evolved;Agent;Device
whats the name of a dc universe character;Agent;Work
which places are named after troup county?;Agent;Place
what rick produced our father;Agent;Work
what type of book is departures & arrivals;Agent;MeanOfTransportation
what film is written by j��nssonligan f��r guldfeber?;Agent;Work
what compony produced pooh's heffalump movie;Agent;Work
where was shotton born;Agent;Place
What netflix genre is fat actress a part of;Agent;Work
What type of instrument does aaron turner play?;Agent;TopicalConcept
what type of music does s.a. rajkumar make?;Agent;TopicalConcept
what mel directed a connecticut yankee in king arthur's court;Agent;Work
what genre is from the album when the lights go out?;Agent;TopicalConcept
What's a terminal that route 10 - parr/tmcc runs through;Agent;Place
who is the publisher for the game version titled h.e.r.o.;Agent;Device
what music is in the film fay grim?;Agent;Work
What group of people includes the telugu people;Agent;EthnicGroup
In what netflix genre is henry viii in?;Agent;TopicalConcept
What's the lancaster park rugby team;Agent;Activity
does ronni le tekro play the synthesizer or guitar;Agent;TopicalConcept
what kinds of book is the bone museum;Agent;MeanOfTransportation
What is the name of a folk music genre;Agent;Work
what was the subject of the work broadax and bayonet;Agent;AnatomicalStructure
What was the origins of totalitarianism written about?;Agent;EthnicGroup
what music is in the film vortex?;Agent;Work
which cult does the church of scientology profess;Agent;Disease
what if the producer company of the sunmark ibuprofen cold and sinus 200/30 tablet;Agent;Event
What is the genre of music by 4minute?;Agent;TopicalConcept
which album is produced by the martinis;Agent;Work
whats the name of the label responsible for the release titled  turn it on again: the hits;Agent;Work
The subject of the novel housekeeping is?;Agent;Work
What's a subject of blue note - a story of modern jazz;Agent;Work
what is the music on the film control;Agent;Work
which album is created by marcos curiel;Agent;Work
What is the carrier for nokia 3310;Agent;Device
Name a film director;Agent;Work
what music is in the film land of the pharaohs?;Agent;Work
bella (shes all i ever had) is a recording produced by what producer;Agent;Work
what make is the model buick sport wagon?;Agent;MeanOfTransportation
what kind of music does hitomi shimatani perform;Agent;TopicalConcept
What's an offspring of beachard williams;Agent;Species
where was glenville born at?;Agent;Place
which album contains quincy plays for pussycats;Agent;Work
what's one of the production companies that worked on the brides of dracula;Agent;Work
what is the art subject of self-portrait;Agent;Work
Who is the manufacturer of ondansetron 8 film coated tablet;Agent;Device
what music is in the film the runaround?;Agent;Work
does theodore frelinghuysen seward practice hinduism or christian science;Agent;TopicalConcept
What album did v-u-den release in 2007?;Agent;Work
what subject is the book first signals about;Agent;Work
what known performed did appear at dancing with the stars - season 10;Agent;Work
What is a notable j-pop artist;Agent;Work
what sport is played in 2013 nrl grand final;Agent;Activity
What kind of book is franklin helps out?;Agent;MeanOfTransportation
What's a featured location in parts: the clonus horror;Agent;Work
whose ethnicity is jewish american;Agent;EthnicGroup
What is upper world's production company?;Agent;Work
who is involved in battle of mine run;Agent;Place
what is jude the obscure about;Agent;Work
Where in netflix would you find pride and prejudice categorized?;Agent;Place
What is the subject of the film the scarlet coat;Agent;Event
what is the main transportation system in calgary;Agent;Place
Which fiction character did fabian nicieza create?;Agent;Work
what kind of music does alexiamikis make;Agent;TopicalConcept
What kind of production company is Gridiron Gang?;Agent;TopicalConcept
what is a transportation system used in bangkok;Agent;MeanOfTransportation
what is the make of the  rolls-royce silver seraph;Agent;MeanOfTransportation
which album is created by barnes & barnes;Agent;Work
what city is taiwan taoyuan international airport hub;Agent;Place
what kind of music is played on on a clear night;Agent;TopicalConcept
what is the name of a britpop composer;Agent;Work
What is the movie genghis khan about;Agent;Work
what is the subject matter of mac os 8.5;Agent;Work
what family does marimba belong to;Agent;TopicalConcept
What is the theme of batman: the ride?;Agent;Place
which make does merkur xr4ti belong to;Agent;EthnicGroup
who is the manufacturer of  amitriptyline hydrochloride 50 film coated tablet;Agent;AnatomicalStructure
what is the netflix genre of romeo & juliet: the tragic lovers;Agent;TopicalConcept
what is devin ratray most known for;Agent;Work
What kind of book is spirit of the wind;Agent;MeanOfTransportation
what is the primary subject of the film solomon;Agent;Event
what style of music is the album human in?;Agent;TopicalConcept
what is the name of an african American jazz singer;Agent;Work
who was involved in the battle of mecca?;Agent;EthnicGroup
which league is lakeshore chinooks a part of;Agent;Activity
What is a university contained within bandar sunway?;Agent;Place
what is a related topic to western astrology;Agent;Work
under who's jurisdiction does the umatilla national forest fall under;Agent;Place
What style of music is marit larsen known for?;Agent;TopicalConcept
what is  the music tapes genre;Agent;TopicalConcept
What is the genre of music found on the album acapulco;Agent;TopicalConcept
what was a folk tale's choreographer;Agent;Work
What's an artist in the bolero genre;Agent;Work
what kind of series is tanner '88;Agent;Work
who was involved in battle of waynesboro, georgia;Agent;Place
Which genre of music is on the album disappearing world;Agent;TopicalConcept
which album is played by bob & earl;Agent;Work
what is the name of a sister on charmed;Agent;Work
What is the name of the production company for the film The Perfect Score?;Agent;Work
which published did ghouls 'n ghosts;Agent;Work
Where was malwa born;Agent;Place
what subject is in my grandfather's son: a memoir;Agent;Work
which song did the london leatherboys record;Agent;Work
What is the subject of the one that got away?;Agent;Disease
the samuel wadsworth russell house is an example of what kind of architecture;Agent;Place
What is the genre of the album boys & girls 1+1=3;Agent;TopicalConcept
What is a electronica artist;Agent;Work
which music label is banda machos a part of;Agent;Work
what kind of high schools exist;Agent;Disease
What did the brooklyn dodgers team later become known as;Agent;Activity
What is the name of the label for in flames?;Agent;Work
What genre of music does the artist darryl mcdaniels produce;Agent;TopicalConcept
what genre of music does mike baiardi create;Agent;TopicalConcept
who was involved in the battle of corunna;Agent;Place
What did Roger Bacon record?;Agent;Work
infernal affairs is what musical genre;Agent;TopicalConcept
what is the name of the British rock band producers of the edge of twilight album;Agent;Work
which art punk artist formed in 1970?;Agent;Work
What site does lance ulanoff blog for?;Agent;Work
What are people born in gondar called?;Agent;EthnicGroup
who published the video game battlezone;Agent;Work
what kind of music does ainhoa cantalapiedra make;Agent;TopicalConcept
what music was played in the neverending story;Agent;Work
what kind of music is by arie band?;Agent;TopicalConcept
where was the film cold mountain located in;Agent;Place
what kind of music does georgio allentini make?;Agent;TopicalConcept
what entity was involved in the battle of luzzara;Agent;Place
What style of music beethoven on speed?;Agent;TopicalConcept
what netflix genre does beethoven: fidelio (royal opera house) belong to;Agent;TopicalConcept
What medication is the staphylococcus aureus bacteria resistant to;Agent;ChemicalSubstance
which song did it's such a long way home compose;Agent;Work
what is the topic of the written work the man who loved china;Agent;Place
What collection does the portrait in taffeta barbie belong to;Agent;Work
what topic gallery does derrick rose appear in;Agent;Work
What is a sports team located in turkey?;Agent;Activity
which genre is the album ol��, ol��;Agent;TopicalConcept
what is the topic of pierre-simon laplace, 1749-1827;Agent;Work
What kind of music is newpower soul;Agent;TopicalConcept
what is the subject of on political means and social ends;Agent;Place
What is the great khali's ethnicity?;Agent;EthnicGroup
What is the production company of lucas (film);Agent;Work
what production company is from the film the producers;Agent;Work
What genre of netflix can neil young: silver & gold be found in?;Agent;TopicalConcept
what music is on the film homeward bound: the incredible journey;Agent;Work
what is the main topic of the other voices, other rooms;Agent;Work
What is the name of the producer of the anna film?;Agent;Work
who was involved in the seven years war;Agent;Place
What's an artist that is played on wzmx;Agent;Work
what music genre is we have cause to be uneasy?;Agent;TopicalConcept
What's an artist on 1.fm top 40;Agent;Work
What is an american football league?;Agent;Activity
what kind of music does mike reid make;Agent;TopicalConcept
who published the game genghis khan;Agent;Work
what is the school category of a school which opened in 2001;Agent;Disease
Where was Coco Star born?;Agent;Place
what michael produced the recording sapphire;Agent;Work
what is the occupation of trent luckinbill;Agent;Activity
what genre of literature is the rarest of the rare written in?;Agent;MeanOfTransportation
Who makes the divalproex sodium 500 delayed release tablet;Agent;Device
Waht is a Russian bishop located in kashira?;Agent;Place
what event did doris wohlfarth survive;Agent;Event
What's a broadcast owned by clear channel communications?;Agent;Work
whats a character in the fictional world  his dark materials;Agent;Work
What is an album by whom?;Agent;Work
what type of music is in the film the village (2004 film);Agent;TopicalConcept
what region was rock n roll memories released originally?;Agent;Place
which type of unit is the size of a regiment;Agent;MeanOfTransportation
which album was created by losdelriospain;Agent;Work
what is the publishing company of endless ocean 2: adventures of the deep;Agent;Work
Who is the operator of the billy bishop toronto city water aerodrome;Agent;Place
who is the manufacturer of ambien 5 film coated tablet;Agent;AnatomicalStructure
Where was oviedo born?;Agent;Place
what does rachael cantu play;Agent;Work
which genre does the artist malcolm arnold perform in;Agent;TopicalConcept
what is the occupation of graham edwards;Agent;Activity
Name one of sugarland albums;Agent;Work
what is the topic of nothing to fear?;Agent;Place
What genre of book is the atlas of jewish history;Agent;MeanOfTransportation
What kind of music does andy marvel make;Agent;TopicalConcept
which record is created by peter watts;Agent;Work
what book is written by tacitus;Agent;Work
what film is directed by la possibilit�� dune ��le?;Agent;Work
What area of activism is the national socialist movement of denmark;Agent;Place
which album is created by fury of five;Agent;Work
what is the producing company of the nicktoons basketball game;Agent;Work
what is the name a outfielder;Agent;Work
Where was proto nekrotafio interred?;Agent;Place
what's one of the universities in hachioji;Agent;Place
What's the artist that made the album live;Agent;Work
lonesome cowboys  is a film satire done by what director;Agent;Work
what is the netflix genre of vashti bunyan: from here to before?;Agent;TopicalConcept
who was involved in battle of antietam;Agent;Place
what is the subject of did the children cry;Agent;Activity
which song was played by booba92i;Agent;Work
what kind of music does whil-fm play;Agent;TopicalConcept
what does the blog a contrario talk about;Agent;Work
What type of music does jasmin ba��i�� make;Agent;TopicalConcept
Who was involved with the kokoda track campaign;Agent;Place
which james directed sutter's gold;Agent;Work
biz markie is apart of what album;Agent;Work
what is the name of the Indian film film score, music composer and playback singer;Agent;Work
what is the publisher for nhl 06;Agent;Work
what is the name of arturo nucci's kid;Agent;Work
What's an artist under warner bros. records;Agent;Work
what is in ireland?;Agent;Place
which sandra produced all about steve;Agent;Work
what kind of music does kiss play?;Agent;TopicalConcept
what school district is wiregrass ranch high school apart of;Agent;Place
who published world cup 98 game version;Agent;Device
which musical genre does  riccardo drigo tend to make;Agent;TopicalConcept
who did the art direction for the film outcast;Agent;Work
what type of religion does stephen poludniak believe in;Agent;EthnicGroup
What genre is keith murray's music;Agent;TopicalConcept
the film korczak  focused on what subject;Agent;Work
what genre book is a history of warfare?;Agent;MeanOfTransportation
which sport team belongs to stade louis ii;Agent;Activity
what is a film company?;Agent;Work
what was the production company behind the last voyage;Agent;Work
what is the subject of the meaning of immortality in human experience;Agent;Work
under what production company was the Indian action psychological thriller, ghajini, released?;Agent;Work
What genre does harvey shapiro perform;Agent;TopicalConcept
What is the make and model of suzuki escudo?;Agent;MeanOfTransportation
what city is the cape town international airport located in;Agent;Place
what is the music category of the mighty lemon drops;Agent;TopicalConcept
what projects did susarla dakshinamurthi primarily work on;Agent;Work
what kind of music is demon kakka;Agent;TopicalConcept
whats the subject of the written work titled  scary snakes;Agent;Work
What genre of music does robert folk record?;Agent;TopicalConcept
Which snl episode did paul rudd/beyonce guest appear on?;Agent;Work
what is the producer company of the spongebob's atlantis squarepantis game;Agent;Work
What is the subject of the film doc;Agent;Work
what kind of music does wccc play;Agent;TopicalConcept
What genre of music do the cat empire play;Agent;TopicalConcept
which places are located in jeffersonville?;Agent;Place
what channel features america's game: the super bowl champions;Agent;Work
what types of genre is russell brand in new york city in netflix;Agent;TopicalConcept
Where did hans meyerhoff perish;Agent;Place
Who was involved in the bombing of wiener neustadt in world war ii;Agent;Place
what type of store is forever 21;AnatomicalStructure;MeanOfTransportation
What is an active ingredient of res balancer?;AnatomicalStructure;ChemicalSubstance
What is an ingredient of cracklin oat bran cereal?;AnatomicalStructure;Species
"What movement was ""Angel of Better Days to Come""?";AnatomicalStructure;TopicalConcept
what instrument did melvin rhyne play?;AnatomicalStructure;Agent
where did the apache wars occur;AnatomicalStructure;Place
what treatment is used for keratoconus;AnatomicalStructure;Biomolecule
What instrument does walter wanderley play;AnatomicalStructure;Agent
what is the genre of the ancient engineers;AnatomicalStructure;TopicalConcept
What is the subject of miss manners on (painfully proper) weddings;Award;Activity
who is the musical director of the album thambi;Award;Agent
Who did the music directing for the film sundarakanda;Award;Agent
What's an eactive ingredient in raggedy ann and andy cotton candy;ChemicalSubstance;Food
what antibiotic is used to treat bacterial infection of the heart valve;ChemicalSubstance;Biomolecule
What is a treatment of posttraumatic stress disorder;ChemicalSubstance;Biomolecule
what is ludent used to formulate;ChemicalSubstance;AnatomicalStructure
What treatment is used for croup disease;ChemicalSubstance;Biomolecule
what can be taken to prevent folate deficiency;ChemicalSubstance;Biomolecule
what is used to treat leprosy;ChemicalSubstance;Biomolecule
Name a medication taken for Coronary Artery Disease.;ChemicalSubstance;Biomolecule
What is the name of a drug used for gas relief;ChemicalSubstance;Biomolecule
which antibiotic is used to treat bacterial eye infections;ChemicalSubstance;Biomolecule
What kind of album is nifedipine 30 tablet?;ChemicalSubstance;Biomolecule
what can be used to prevent drug toxicity;ChemicalSubstance;Biomolecule
how do you treat bacterial vaginosis?;ChemicalSubstance;Biomolecule
how is acute bronchitis treated;ChemicalSubstance;Biomolecule
what is a treatment for shock (circulatory)?;ChemicalSubstance;Biomolecule
which treatment is required of bronchiectasis;ChemicalSubstance;Biomolecule
what is the treatment used for eclampsia?;ChemicalSubstance;Biomolecule
what is a treatment of sepsis?;ChemicalSubstance;Biomolecule
What's inside nars syracuse;ChemicalSubstance;AnatomicalStructure
how do you treat gonorrhea;ChemicalSubstance;Biomolecule
What is a treatment for indigestion?;ChemicalSubstance;Biomolecule
What can help treat tuberculosis;ChemicalSubstance;Biomolecule
what is used to treat chronic mucocutaneous candidiasis;ChemicalSubstance;Biomolecule
What is the name of the drug fenoprofen calcium 600 film coated tablet;ChemicalSubstance;Biomolecule
What is used to treat rhinitis?;ChemicalSubstance;Biomolecule
